1 1 0 0 1
2 2 3 3 1
3 3 4 3 1
4 4 5 3 1
5 5 6 2 1
6 6 7 4 1
7 7 8 3 1
8 8 9 4 1
9 9 10 4 1
10 10 11 3 1
11 11 12 5 1
12 12 13 3 1
13 13 14 5 1
14 14 15 5 1
15 15 16 5 1
16 16 17 5 1
17 17 18 5 1
18 18 19 5 1
19 19 20 5 1
20 20 21 4 1
21 21 22 5 1
22 22 23 4 1
23 23 24 6 1
24 24 25 5 1
25 25 26 6 1
26 26 27 5 1
27 27 28 3 1
28 28 29 5 1
29 29 30 4 1
30 30 31 5 1
31 31 32 6 1
32 32 33 6 1
33 33 34 6 1
34 34 35 4 1
35 35 36 5 1
36 36 37 6 1
37 37 38 6 1
38 38 39 7 1
39 39 40 7 1
40 40 41 7 1
41 41 42 7 1
42 42 43 5 1
43 43 44 6 1
44 44 45 4 1
45 45 46 7 1
46 46 47 7 1
47 47 48 4 1
48 48 49 7 1
49 49 50 7 1
50 50 51 7 1
51 51 52 5 1
52 52 53 3 1
53 53 54 5 1
54 54 55 5 1
55 55 56 7 1
56 56 57 5 1
57 57 58 4 1
58 58 59 7 1
59 59 60 3 1
60 60 61 6 1
61 61 62 6 1
62 62 63 7 1
63 63 64 3 1
64 64 65 6 1
65 65 66 6 1
66 66 67 7 1
67 67 68 6 1
68 68 69 7 1
69 69 70 7 1
70 70 71 8 1
71 71 72 7 1
72 72 73 8 1
73 73 74 7 1
74 74 75 7 1
75 75 76 7 1
76 76 77 7 1
77 77 78 5 1
78 78 79 7 1
79 79 80 7 1
80 80 81 3 1
81 81 82 6 1
82 82 83 4 1
83 83 84 7 1
84 84 85 7 1
85 85 86 6 1
86 86 87 8 1
87 87 88 8 1
88 88 89 8 1
89 89 90 8 1
90 90 91 7 1
