1 0 0 0
2 1 1 1
3 3 3 3
4 7 7 7
5 13 14 14
6 23 23 23
7 34 34 34
8 50 47 57
9 70 66 78
10 101 88 100
11 126 113 129
12 154 144 155
13 184 173 193
14 218 217 234
15 268 261 277
16 318 308 322
17 365 361 367
18 420 418 455
19 490 480 513
20 550 546 582
21 636 615 644
22 700 682 725
23 791 768 807
24 889 848 897
25 969 933 989
26 1072 1030 1081
27 1203 1131 1204
28 1333 1245 1327
29 1445 1352 1438
30 1587 1483 1543
31 1728 1611 1669
32 1865 1731 1783
33 2015 1868 1928
34 2175 2043 2090
35 2310 2207 2223
36 2477 2358 2402
37 2619 2531 2560
38 2778 2701 2721
39 2946 2866 2912
40 3144 3032 3090
41 3395 3225 3254
42 3594 3403 3481
43 3791 3620 3670
44 4020 3842 3880
45 4248 4055 4087
46 4475 4276 4353
47 4736 4496 4587
48 4964 4718 4822
49 5210 4964 5031
50 5466 5245 5270
51 5728 5488 5577
52 6019 5734 5840
53 6285 6021 6082
54 6553 6312 6370
55 6896 6577 6656
56 7197 6871 6969
57 7516 7188 7304
58 7811 7462 7587
59 8120 7824 7918
60 8477 8195 8218
61 8769 8491 8542
62 9054 8830 8892
63 9413 9267 9217
64 9731 9578 9568
65 10107 9948 9924
66 10409 10284 10293
67 10798 10637 10691
68 11171 10975 11018
69 11567 11380 11400
70 11909 11810 11730
71 12380 12215 12184
72 12784 12690 12555
73 13195 13093 12961
74 13639 13514 13456
75 14015 13921 13905
76 14447 14342 14297
77 14861 14761 14786
78 15305 15180 15234
79 15735 15625 15675
80 16219 16052 16166
81 16743 16546 16627
82 17239 17014 17250
83 17744 17540 17759
84 18300 18010 18222
85 18813 18559 18801
86 19354 19031 19278
87 19882 19506 19754
88 20399 20048 20244
89 21013 20551 20884
90 21574 21057 21433
91 22087 21696 21964
92 22632 22286 22504
93 23195 22823 23056
94 23779 23429 23687
95 24347 24011 24257
96 25021 24646 24801
97 25630 25225 25432
98 26223 25854 26023
99 26794 26581 26667
100 27431 27142 27362
