1 0 0
2 1 1
3 4 4
4 10 9
5 17 16
6 25 26
7 36 39
8 51 58
9 68 76
10 92 99
11 118 122
12 151 160
13 188 202
14 230 243
15 277 295
16 328 341
17 376 386
18 427 438
19 486 500
20 558 561
21 631 635
22 712 720
23 788 797
24 866 876
25 955 961
26 1045 1081
27 1140 1204
28 1249 1313
29 1358 1429
30 1497 1538
31 1638 1671
32 1757 1797
33 1886 1921
34 2044 2055
35 2202 2203
36 2341 2363
37 2499 2546
38 2664 2698
39 2858 2846
40 3099 3018
41 3287 3205
42 3473 3428
43 3696 3647
44 3942 3834
45 4221 4072
46 4498 4293
47 4725 4588
48 4953 4802
49 5173 5049
50 5421 5269
51 5668 5565
52 5908 5826
53 6241 6090
54 6527 6351
55 6774 6638
56 7064 6913
57 7507 7199
58 7814 7492
59 8110 7803
60 8405 8093
61 8696 8398
62 8999 8715
63 9321 8997
64 9668 9377
65 9970 9756
66 10370 10121
67 10722 10470
68 11196 10879
69 11535 11374
70 11928 11795
71 12285 12272
72 12790 12660
73 13161 13071
74 13539 13576
75 13929 14051
76 14399 14497
77 14850 14952
78 15295 15530
79 15865 15952
80 16340 16423
81 16793 17009
82 17223 17575
83 17879 18028
84 18324 18463
85 18816 19001
86 19365 19451
87 19882 19974
88 20393 20471
89 20910 21033
90 21506 21526
91 22046 22152
92 22619 22727
93 23332 23349
94 23928 24039
95 24421 24559
96 25111 25152
97 25851 25777
98 26411 26401
99 26981 26950
100 27588 27730
